election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_경제애국당,party_국민대통합당,party_늘푸른한국당,party_민중연합당,party_한국국민당,party_홍익당,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_경제애국당,ratio_국민대통합당,ratio_늘푸른한국당,ratio_민중연합당,ratio_한국국민당,ratio_홍익당,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year,party_민중당,party_대한애국당,party_국제녹색당,party_녹색당,party_우리미래,party_친박연대,party_노동당,ratio_민중당,ratio_대한애국당,ratio_국제녹색당,ratio_녹색당,ratio_우리미래,ratio_친박연대,ratio_노동당,party_한반도미래연합,ratio_한반도미래연합,party_대한당,ratio_대한당,party_코리아,ratio_코리아,party_우리공화당,party_가자!평화인권당,party_공화당,party_국가혁명배당금당,party_국민새정당,party_민중민주당,party_한나라당,party_미래당,party_한국복지당,party_기본소득당,party_통일민주당,party_친박신당,party_기독자유통일당,party_충청의미래당,ratio_우리공화당,ratio_가자!평화인권당,ratio_공화당,ratio_국가혁명배당금당,ratio_국민새정당,ratio_민중민주당,ratio_한나라당,ratio_미래당,ratio_한국복지당,ratio_기본소득당,ratio_통일민주당,ratio_친박신당,ratio_기독자유통일당,ratio_충청의미래당,party_신자유민주연합,party_통일한국당,party_한류연합당,ratio_신자유민주연합,ratio_통일한국당,ratio_한류연합당,party_독도당,ratio_독도당,party_한국당,party_남북통일당,ratio_한국당,ratio_남북통일당,party_코리아당,ratio_코리아당,party_시대전환,party_혁명21,party_신한반도평화체제당,party_기독당,party_깨어있는시민연대당,party_자유통일당,ratio_시대전환,ratio_혁명21,ratio_신한반도평화체제당,ratio_기독당,ratio_깨어있는시민연대당,ratio_자유통일당,party_가락특권폐지당,party_대한국민당,party_녹색정의당,party_기후민생당,party_내일로미래로,party_새진보연합,party_자유민주당,party_소나무당,party_한국농어민당,ratio_가락특권폐지당,ratio_대한국민당,ratio_녹색정의당,ratio_기후민생당,ratio_내일로미래로,ratio_새진보연합,ratio_자유민주당,ratio_소나무당,ratio_한국농어민당
19대대통령선거,강원도,강릉시,20170509,1,178461,132395,131712,683,41565.0,19.0,91.0,43.0,99.0,63.0,113.0,44616.0,45103.0,강릉시,대한민국,0.31557489067055394,0.00014425413022351797,0.0006909013605442177,0.00032646987366375123,0.0007516399416909621,0.00047831632653061223,0.0008579324586977648,0.3387390670553936,0.34243652818270165,2017,32030,강릉시,215914,108572,107342,16650,23479,29629,23401,33518,36281,27096,18615,7785,1229,24035,152904,38975,0.1372259325472178,0.1083811147030762,0.1552377335420584,0.1680344952156877,0.1254944098113137,0.1279629852626508,0.1805116852079994,0.7081708457997166,0.4971516437099956,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,고성군,20170509,1,25637,18692,18521,171,5664.0,8.0,27.0,5.0,16.0,12.0,26.0,6534.0,6229.0,고성군,대한민국,0.3058150207872145,0.0004319421197559527,0.0014578046541763403,0.00026996382484747045,0.0008638842395119054,0.000647913179633929,0.0014038118892068462,0.35278872631067437,0.33632093299497867,2017,32600,고성군,28621,15422,13199,1547,2342,5140,2395,3272,4760,4122,3498,1431,269,2199,19516,6906,0.1795884141015338,0.0836798155200726,0.1143216519338947,0.1663114496348834,0.144020125082981,0.1816148981517067,0.2412913594912826,0.6818769435030223,0.4611648789350477,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,동해시,20170509,1,76059,55542,55269,273,17184.0,9.0,47.0,24.0,69.0,38.0,38.0,19104.0,18756.0,동해시,대한민국,0.3109157031970906,0.00016283992835043154,0.0008503862924966979,0.00043423980893448407,0.0012484394506866417,0.0006875463641462665,0.0006875463641462665,0.34565488791184934,0.3393584106822993,2017,32040,동해시,89151,45347,43804,8514,9156,8704,10841,15266,15392,11409,7448,2940,362,12003,61710,15438,0.0976321073235297,0.1216026741147042,0.1712375632354096,0.172650895671389,0.1279738870007066,0.1205819340220524,0.1731668741797624,0.6921963859070566,0.4913461430606499,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,삼척시,20170509,1,59080,44097,43798,299,13496.0,13.0,38.0,21.0,41.0,42.0,77.0,16023.0,14047.0,삼척시,대한민국,0.3081419242887803,0.00029681720626512624,0.0008676195260057537,0.000479473948582127,0.000936115804374629,0.000958947897164254,0.0017580711448011324,0.3658386227681629,0.3207224074158637,2017,32070,삼척시,67860,35066,32794,4811,6569,9511,6707,9462,11475,9326,6851,3236,388,6728,46603,14529,0.1401562039493074,0.0988358384910109,0.1394341290893015,0.1690981432360742,0.1374300029472443,0.1543619216033009,0.2141025641025641,0.6867521367521368,0.4832596522251695,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,속초시,20170509,1,67471,46985,46776,209,15045.0,9.0,28.0,14.0,23.0,20.0,33.0,13956.0,17648.0,속초시,대한민국,0.32163930220625964,0.00019240636223704464,0.0005985975714041388,0.0002992987857020694,0.000491705147939114,0.0004275696938600992,0.0007054899948691636,0.29835813237557723,0.37728749786215154,2017,32060,속초시,78618,38962,39656,6875,7890,7663,9502,13395,14774,9840,6335,2609,419,9861,55588,13169,0.0974713170011956,0.1208629067134752,0.1703808288178279,0.1879213411686891,0.1251621766007784,0.1190948637716553,0.1675061690706962,0.7070645399272432,0.5044137474878526,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,양구군,20170509,1,19610,14848,14686,162,4526.0,7.0,19.0,8.0,19.0,24.0,27.0,4266.0,5790.0,양구군,대한민국,0.30818466566798314,0.00047664442326024784,0.0012937491488492442,0.0005447364837259975,0.0012937491488492442,0.0016342094511779927,0.0018384856325752417,0.29048072994688817,0.3942530300966907,2017,32580,양구군,22355,11971,10384,2133,2162,3409,2720,2789,3636,2557,2100,889,139,2860,15414,4081,0.1524938492507269,0.1216730038022813,0.1247595616193245,0.162648177141579,0.1143815701185417,0.1399239543726236,0.1825542384254082,0.6895101766942519,0.4645045851040035,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,양양군,20170509,1,23853,17853,17733,120,5017.0,12.0,22.0,14.0,14.0,18.0,22.0,6724.0,5890.0,양양군,대한민국,0.28291885185811766,0.0006767044493317544,0.001240624823774883,0.0007894885242203801,0.0007894885242203801,0.0010150566739976314,0.001240624823774883,0.3791800597755597,0.33214910054700275,2017,32610,양양군,25556,12939,12617,1576,1823,2090,2394,3468,4806,4322,3593,1391,266,2264,16203,7089,0.0817811864141493,0.0936766317107528,0.1357019877915166,0.1880575989982782,0.1691187979339489,0.2054312098920018,0.2773908279856003,0.6340194083581155,0.4937001095633119,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,영월군,20170509,1,34905,25925,25784,141,8067.0,8.0,24.0,12.0,34.0,25.0,47.0,8819.0,8748.0,영월군,대한민국,0.31286844554762644,0.00031026993484331366,0.000930809804529941,0.0004654049022649705,0.0013186472230840832,0.0009695935463853553,0.0018228358672044678,0.3420338194228979,0.33928017375116354,2017,32530,영월군,36934,19006,17928,2159,3081,3124,3084,5078,7224,6346,4837,1974,249,3211,23904,9819,0.0845833107705637,0.083500297828559,0.1374884929874912,0.195592137326041,0.1718200032490388,0.1911517842638219,0.2658526019385931,0.647208534141983,0.4854064006064872,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,원주시,20170509,1,273858,204233,203395,838,77495.0,47.0,157.0,44.0,198.0,82.0,109.0,51069.0,74194.0,원주시,대한민국,0.38100739939526534,0.00023107746011455542,0.0007718970476167064,0.00021632783500086038,0.0009734752575038718,0.00040315641977433075,0.000535903045797586,0.2510828683104304,0.3647778952284963,2017,32020,원주시,341338,170450,170888,33238,39472,46585,45510,57887,57114,33211,21158,9458,1235,46678,250009,44651,0.1364776262824531,0.1333282552777598,0.169588501719703,0.1673238842437701,0.0972965213366223,0.0933122008097545,0.1308116881214514,0.7324382283835963,0.5006415927907235,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19대대통령선거,강원도,인제군,20170509,1,27251,20751,20541,210,6574.0,13.0,23.0,13.0,21.0,28.0,24.0,6041.0,7804.0,인제군,대한민국,0.32004284114697434,0.000632880580302809,0.0011197117959203544,0.000632880580302809,0.0010223455527968454,0.0013631274037291272,0.0011683949174821088,0.29409473735455915,0.3799230806679324,2017,32590,인제군,30524,16456,14068,3098,2265,3863,4176,4046,5308,3842,2835,1152,181,4075,20815,5634,0.1265561525357096,0.1368103787183855,0.1325514349364434,0.1738959507272965,0.1258681693093958,0.136548289870266,0.1845760712881667,0.6819224217009566,0.4608832394181628,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
